hurufKecil_fullText,cleaning_stemmed,sentiment
prabowo sindir paslon 1 dengan kata-kata goblok dan tolol gara-gara bahas kepemilikan tanah ini calon ri1 lho apa mau dipimpin orang yang akhlaknya seperti ini? https://t.co/mlad8dxzvx,prabowo sindir paslon katakata goblok tolol garagara bahas milik tanah calon ri lho apa mau pimpin orang akhlak,negative
pak @prabowo subianto dan mas @gibran_tweet bersama partai gerindra mengucapkan terimakasih sebesar-besarnya kepada seluruh penyelanggara pemilu 2024 komisioner kpu para petugas kpps para saksi para pengawas pemilu dari bawaslu dan para aparat penegak hukum dari tni dan https://t.co/2qt3vdwh9w,pak subianto mas tweet sama partai gerindra ucap terimakasih sebesarbesarnya seluruh penyelanggara milu komisioner kpu tugas kpps saksi awas milu bawaslu aparat tegak hukum tni,negative
si dumdun ini ga paham arti ini gambar apa yah? 94 76% propinsi 36 dr 38 pemilih prabowo-gibran. mau pilkada nyerang pemenang pemilu?bukanya focus nyerang lawan calonnya di pilkada? makanya mbak @puanmaharani_ri pecat aja buzzer koplak2 gini bikin jagoan pdip kalah telak nanti https://t.co/esex2tzzcb,si dumdun ga paham arti gambar apa yah propinsi dr pilih prabowogibran mau pilkada nyerang menang pemilubukanya focus nyerang lawan calon pilkada makanya mbak ri pecat aja buzzer koplak gin bikin jago pdip kalah telak,neutral
ini betul fufufafa yang posting begini? sudah lebih dari keterlaluan orang ini. pak @prabowo bapak tidak mungkin membiarkan orang ini menghina dan mempermainkan bapak sekeluarga kan kami rakyat tidak tega dan tidak ikhlas bapak dihina di luar batas manusia begini. https://t.co/f8c1vkotur,betul fufufafa posting begini lebih terlalu orang pak bapak mungkin biar orang hina main bapak keluarga kan rakyat tega ikhlas bapak hina luar batas manusia begini,negative
 endasmu etik - prabowo 2023 https://t.co/hrwizu3bhm,endas etik prabowo,negative
rakyat indonesia sudah sibuk euforia timnas indonesia vs bahrain persiapan pelantikan prabowo-gibran. mengapa masih ada yg rebutan siapa yg berhak gantiin gibran jd wapres?ada apa kawan kalah segitu menyakitkan kah? sampai rebutan pepesan kosong. https://t.co/htqergbmz7,rakyat indonesia sibuk euforia timnas indonesia vs bahrain siap lantik prabowogibran yg rebut siapa yg hak gantiin gibran jd wapresada apa kawan kalah segitu sakit rebut pepes kosong,negative
usai menghadiri pelantikan jokowi akan ke istana merdeka untuk acara pisah sambut. https://t.co/rudqtnlplv,usai hadir lantik jokowi istana merdeka acara pisah sambut,neutral
ketum pbnu: separuh kabinet prabowo diisi kader nu https://t.co/ufkwzitbvu,tum pbnu paruh kabinet prabowo isi kader nu,neutral
bahlil: kalau kita bahas apbn 2025 presidennya kan sudah pak prabowo sama wapresnya mas gibran... jadi pasti kpu aja belum selesai kerja... luar biasa bahlil https://t.co/opirqmohxc,bahlil kalau bahas apbn presiden kan pak prabowo sama wapresnya mas gibran jadi kpu aja selesai kerja luar biasa bahlil,negative
gerindra dipermalukan di sumbar prabowo kalah telak dari anies si andre ngeles prabowo kalah karena warga sumbar kemakan serangan hoax dan isu agama ini sama saja melecehkan warga sumbar. https://t.co/u2xnbwwsyf,gerindra malu sumbar prabowo kalah telak anies si andre ngeles prabowo kalah warga sumbar makan serang hoax isu agama sama leceh warga sumbar,negative
motif pasukan sakit hati : membenturkan pak jokowi dgn pak prabowo. membenturkan pak sby dgn pak jokowi. kenapa pak jokowi? karena posisi beliau tidak dinaungi partai. tujuannya agar mengganti wapres terpilih. setelah itu mengganti presiden terpilih dgn capres pilihan mereka ,motif pasu sakit hati bentur pak jokowi dgn pak prabowo bentur pak sby dgn pak jokowi pak jokowi posisi beliau naung partai tuju ganti wapres pilih ganti presiden pilih dgn capres pilih,negative
lu pada emang goblok gak bisa baca pantes kerjanya marah2 dan dibegoin politisi mulu ,lu emang goblok gak baca pantes kerja marah dibegoin politis mulu,negative
kenapa amerika &amp; uni eropa sangat membenci prabowo sejak dulu ada yang bisa kasih jawaban? gw ada penjelasan nya tapi pengen lihat pendapat kalian dulu,amerika amp uni eropa sangat benci prabowo sejak dulu kasih jawab gw jelas nya ken lihat dapat kalian dulu,negative
survei itu dilakukan di dunia nyata jadi beda dengan survei di media sosial nyatanya 15 hari sebelum beliau purna tugas kepuasan publik benar2 luar biasa 75% !!! #terimakasihpakjokowi #prabowo #gibran https://t.co/y2uznsshrh,survei laku dunia nyata jadi beda survei media sosial nyata hari beliau purna tugas puas publik benar luar biasa,positive
beban proyek mangkrak ikn ditanggung presiden terpilih @prabowo dan rakyat... ini artinya mulyono sedang berusaha buang badan alias cuci tangan alias lempar tanggung jawab licik...! https://t.co/kmkcgszi0j,beban proyek mangkrak ikn tanggung presiden pilih rakyat arti mulyono sedang usaha buang badan alias cuci tangan alias lempar tanggung jawab licik,negative
perayaan hut ke-79 tni di monas menjadi magnet bagi masyarakat bukan hanya karena parade alutsista tapi juga untuk melihat langsung presiden terpilih prabowo subianto. bahkan warga rela menunggu lama demi bertemu tokoh yang akan memimpin indonesia di periode 2024-2029 ini. https://t.co/s1mobxfeel,raya hut tni monas jadi magnet masyarakat bukan parade alutsista lihat langsung presiden pilih prabowo subianto bahkan warga rela tunggu lama temu tokoh pimpin indonesia periode,negative
halo pak @ahriesonta @listyosigitp @divhumas_polri @kpai_official @jokowi @prabowo @gibran_tweet @habiburokhman ijin bapak pejabat budiman kasus pelecehan yang terjadi di yayasan annur tangerang sudah bagaiaman kelanjutan nya pak dan sudah ada pendampingan dr ppa polri kpai dan https://t.co/lv54tacnxq,halo pak polri official tweet ijin bapak jabat budiman kasus leceh jadi yayasan annur tangerang bagaiaman lanjut nya pak damping dr ppa polri kpai,neutral
modal awal survei di 83 4 % di pemerintahan @prabowo #judolblock #gakngerokokcuy #wetreasureyou_mandiri #plnelectricrun https://t.co/pjercztvao,modal awal survei perintah mandiri,negative
ngapain peduli sama influencer presiden lu noh prabowo wakilnya fufufafa blm lg israel masih genosida palestina skrg nambah lebanon sama syiria. https://t.co/qclxstoonm,ngapain peduli sama influencer presiden lu noh prabowo wakil fufufafa blm lg israel genosida palestina skrg nambah lebanon sama syiria,negative
tarik ulur pertemuan megawati-prabowo pdip mainkan politik 'jaga pelanggan' ? ada tanggapan lur? tulis di kolom komentar ya! #megawati #prabowo #pelanggansetia #infografis https://t.co/paj4rwqa0l,tarik ulur temu megawatiprabowo pdip main politik jaga langgan tanggap lur tulis kolom komentar,neutral
gomah malah salfok sama pak prabowo yg gandeng tangannya mbah ma'ruf amin https://t.co/drhmpzbvhi,gomah malah salfok sama pak prabowo yg gandeng tangan mbah maruf amin,positive
makan gratis yang diusung presiden prabowo subianto akan akan diberikan dua kali sehari. adik kandung prabowo hashim djojohadikusumo mengatakan makan bergizi gratis untuk anak sekolah balita dan ibu hamil atau menysui akan diberikan pada pagi dan siang hari. #smartnews https://t.co/thzz2ynzd9,makan gratis usung presiden prabowo subianto beri kali hari adik kandung prabowo hashim djojohadikusumo kata makan gizi gratis anak sekolah balita ibu hamil menysui beri pagi siang hari,neutral
kalimat pertanyaan wartawannya di saat pelantikan pak prabowo.... .... .... jadi bukan maksudnya hadir atau tidak. itu pertanyaan lain yg diajukan wartawan dengerin baik-baik. enggak mungkin kalau enggak hadir selama ada umur logikanya anaknya dilantik jadi wapres jg kan ,kalimat tanya wartawannya lantik pak prabowo jadi bukan maksud hadir tanya yg aju wartawan dengerin baikbaik enggak mungkin kalau enggak hadir lama umur logika anak lantik jadi wapres jg kan,negative
om dewan habiburokhman di apa kabar indonesia pagi tv one: pertanyaan soal menteri dari pdip atau kapan pertemuan bu mega dan pak prabowo sudah kurang relevan. secara de facto komunikasi dan kerja sama politik antara pdip dan gerindra di dpr sudah berjalan sangat baik. ada tiga https://t.co/6m645xmf0c,om dewan habiburokhman apa kabar indonesia pagi tv one tanya soal menteri pdip kapan temu bu mega pak prabowo kurang relevan de facto komunikasi kerja sama politik pdip gerindra dpr jalan sangat baik tiga,neutral
ini mirip pilpres kemarin. caleg pdip dukung prabowo-gibran bukan malah kampanyekan capres dari partainya. mereka tau diri kalo jagoan dari partai tidak bagus https://t.co/5hcxohwnsc,mirip pilpres kemarin caleg pdip dukung prabowogibran bukan malah kampanye capres partai tau diri kalo jago partai bagus,neutral
untuk sementara berita ini bisa jadi bencana buat dinasti mulyono. krn mulyono punya kpntingan ngejagain anak mantunya dr sergapan @kpk_ri tinggal kita liat gmna prabowo aja.. mau nyikat korupsi gak? ato ikut gaya mulyono? https://t.co/03la62pv0t https://t.co/o1rhqazilc,berita jadi bencana buat dinasti mulyono krn mulyono punya kpntingan ngejagain anak mantu dr sergap ri tinggal liat gmna prabowo aja mau nyikat korupsi gak ato ikut gaya mulyono,neutral
selamat datang pak prabowo selamat jalan pak jokowi ️🇲🇨 setiap perubahan membawa harapan baru &amp; kita rakyat indonesia menyambutnya dengan penuh optimisme. dan dengan antusiasme yang sama kita menyambut @prabowo yang akan meneruskan perjalanan &amp; membawa bangsa ke kemakmuran. https://t.co/yqrqhqzhwn,selamat datang pak prabowo selamat jalan pak jokowi ubah bawa harap baru amp rakyat indonesia sambut penuh optimisme antusiasme sama sambut terus jalan amp bawa bangsa makmur,positive
pratikno bilang jokowi hadir. https://t.co/tkirrgwbwd tp di video bilangnya gak hadir. wkwkkwkkk galau https://t.co/nadsd2ng7e,pratikno bilang jokowi hadir tp video bilang gak hadir wkwkkwkkk galau,negative
teruslah menjadi guru angsa doa kami selalu goodnight https://t.co/ivgpswelll,terus jadi guru angsa doa selalu goodnight,positive
buntut akun fufufafa gibran terancam dilengserkan oleh prabowo hingga jadi tersangka https://t.co/x4vwuf4qc0,buntut akun fufufafa gibran ancam lengser prabowo hingga jadi sangka,neutral
kira2 siapa yang cocok masuk kabinet prabowo gibran mba @puanmaharani_ri or @yennywahid menurut aq lebih bagus merea berdua masuk biar buzzer tetangga wan abud @aniesbaswedan dan @ganjarpranowo berpikir keras buat isu ? ada yang setuju ? https://t.co/htn7yjtv7e,kira siapa cocok masuk kabinet prabowo gibran mba ri or aq lebih bagus merea dua masuk biar buzzer tetangga wan abud pikir keras buat isu tuju,neutral
subhanallah.... kita tidak tau apa yang akan terjadi ....!? yang luar biasa itu adalah sikap terhadap ibu puan pak prabowo lebih mengerti apa itu adab apalagi hubungan antara pak prabowo dan ibu megawati sampai saat ini masih berjalan dengan sangat baik..... https://t.co/2co0kjdtij,subhanallah tau apa jadi luar biasa sikap ibu puan pak prabowo lebih erti apa adab hubung pak prabowo ibu megawati jalan sangat baik,positive
bendahara umum partai demokrasi indonesia perjuangan (pdip) olly dondokambey menyampaikan bahwa megawati soekarnoputri sudah memberikan instruksi untuk mendukung pemerintahan presiden terpilih prabowo subianto. #prabowo #prabowosubianto #presidenterpilih #pemerintahan https://t.co/pnsnf2uyvx,bendahara umum partai demokrasi indonesia juang pdip olly dondokambey sampai megawati soekarnoputri beri instruksi dukung perintah presiden pilih prabowo subianto,positive
keterangan : 1. mba yenny - raut wajahnya memancarkan keceriaan 2. mba @puanmaharani_ri - senyuman yg terpancar kebahagiaan 3. mas didit prabowo - senyuman kecil yg memiliki arti 4. @gibran_tweet - gw bingung baca raut wajah nih orang bila gw bilang senyum bahagia ga juga https://t.co/2tfr3my6pm,terang mba yenny raut wajah pancar ceria mba ri senyum yg pancar bahagia mas didit prabowo senyum kecil yg milik arti tweet gw bingung baca raut wajah nih orang bila gw bilang senyum bahagia ga,positive
jelang pelantikan presiden terpilih dan wakil presiden terpilih prabowo-gibran 20 oktober 2024 nama calon menteri dengan posisinya massive beredar di banyak akun media sosial. salah satunya kandidat menteri koperasi dan ukm. siapa saja? https://t.co/lp7z8f870k,jelang lantik presiden pilih wakil presiden pilih prabowogibran oktober nama calon menteri posisi massive edar banyak akun media sosial salah satu kandidat menteri koperasi ukm siapa,neutral
emang ini ss bikin baper yg angkat isu fitnah fufufafa yah.. pada emosi sendiri mereka wkwkw. mangat udah ikuti sop perintah juragan buat adu domba prabowo-gibran pertama lengserkan gibran abis gitu sikat lengserkan prabowo.idup kok kerjaan adu domba rakyat aja..bani benalu ini https://t.co/ymud4hchcp,emang ss bikin baper yg angkat isu fitnah fufufafa yah emosi sendiri wkwkw mangat udah ikut sop perintah juragan buat adu domba prabowogibran pertama lengser gibran abis gitu sikat lengser prabowoidup kok kerja adu domba rakyat ajabani benalu,negative
breaking news..!! sebanyak tujuh siswa sd keracunan akibat uji coba makan siang gratis yg di lakukan oleh relawan nya prabowo - gibran ( buat anak ko coba coba ) tecno indonesia hapsun https://t.co/wzhpur2fyr,breaking news banyak tujuh siswa sd racun akibat uji coba makan siang gratis yg laku rawan nya prabowo gibran buat anak ko coba coba tecno indonesia hapsun,negative
pemerintahan presiden terpilih @prabowo subianto dipastikan akan melanjutkan program-program presiden @jokowi. hal ini termasuk dengan mega proyek ibu kota baru yakni ibu kota nusantara (ikn). #judolteror welcome back renjun prabowojkw solidkompak nkritangguh kokohdisegani https://t.co/hnmtdx2hdn,perintah presiden pilih subianto pasti lanjut programprogram presiden masuk mega proyek ibu kota baru ibu kota nusantara ikn welcome back renjun prabowojkw solidkompak nkritangguh kokohdisegani,neutral
wacana pertemuan prabowo - megawati ketua pbnu berharap pdip tetap menjadi oposisi di pemerintahan prabowo. i. n. d. o. n. e. s. i. a. https://t.co/c6egaqvxeq,wacana temu prabowo megawati ketua pbnu harap pdip tetap jadi oposisi perintah prabowo i n d o n e s i a,negative
kerenggangan antara pak prabowo &amp; gibran akan semakin terlihat jelas kedepannya sbg patriot pak prabowo bisa memaafkan cuitan akun fufufafa. tapi pak prabowo juga berharap pemilik akun fufufafa secara ksatria mengakui &amp; meminta maaf di depan publik. #singkirkangibranfufufafa https://t.co/ukazv6cpt5,renggang pak prabowo amp gibran makin lihat jelas depan sbg patriot pak prabowo maaf cuit akun fufufafa pak prabowo harap milik akun fufufafa ksatria aku amp minta maaf depan publik,negative
sepurane njih... aku melok iki ae... aku bold yah... siapa itu jokowi kok cuma lu doang (ditujukan ke prabowo) fyi... pak jokowi/pak prabowo iku pemimpinku presidenku... pinisirin... ybs lahir dibekali adab gak seh...? https://t.co/qk6elbrew4,sepurane njih aku lok iki ae aku bold yah siapa jokowi kok cuma lu doang tuju prabowo fyi pak jokowipak prabowo iku pimpin presiden pinisirin ybs lahir bekal adab gak seh,negative
katanya baser : -pak prabowo lebih memilih pdip dibanding golkar - pak prabowo lebih memilih pdip dibanding pak jokowi apalagi gibran. *klo mau gabung silakan gosah banyak tingkah gosah rewel. https://t.co/9puvprird8,kata baser pak prabowo lebih pilih pdip banding golkar pak prabowo lebih pilih pdip banding pak jokowi gibran klo mau gabung sila gosah banyak tingkah gosah rewel,negative
urusan negara kasih @prabowo aja🇲🇨 https://t.co/f6pilidr4t,urus negara kasih aja,negative
viral lagi guys program makan gratis prabowo-gibran makan korban! 7 siswa di nganjuk keracunan makanan basi usai santap menu program makan gratis. sape sekarang dari ke 7 anak sd ini masih ada seorang yang dirawat intensif. peristiwa keracunan terjadi pada rabu 2 oktober https://t.co/k7n7qalire,viral guys program makan gratis prabowogibran makan korban siswa nganjuk racun makan basi usai santap menu program makan gratis sape sekarang anak sd orang rawat intensif peristiwa racun jadi rabu oktober,neutral
dirgahayu tentara nasional indonesia! 🇮🇩 terima kasih atas dedikasi dan pengabdian yang tiada henti dalam menjaga kedaulatan dan keamanan nkri. bersama tni kita bangun indonesia yang lebih kuat berdaulat dan bermartabat. #temanprabowosubianto 🇨🇭 @prabowo ️🇮🇩️ https://t.co/sqg9ve0qjl,dirgahayu tentara nasional indonesia terima kasih atas dedikasi abdi tiada henti jaga daulat aman nkri sama tni bangun indonesia lebih kuat daulat martabat,positive
selamat ulang tahun ke 79 tahun prima untuk tni semoga semakin kuat semakin merakyat. di acara peringatan ulang tahun tni telah hadir dengan kompak presiden terpilih pak prabowo beserta wakil nya gibran. buat yg kemarin kangen sama gibran silahkan di tatap video ini . https://t.co/7sgfy4qzah,selamat ulang tahun tahun prima tni moga makin kuat makin rakyat acara ingat ulang tahun tni hadir kompak presiden pilih pak prabowo serta wakil nya gibran buat yg kemarin kangen sama gibran silah tatap video,positive
lembaga survei indikator mengeluarkan hasil survei terkait keyakinan publik terhadap pemerintahan prabowo 5 tahun ke depan. mayoritas responden meyakini bahwa prabowo bisa membawa indonesia menjadi lebih baik ️🇲🇨 _ https://t.co/tmf5xph9qw,lembaga survei indikator keluar hasil survei kait yakin publik perintah prabowo tahun depan mayoritas responden yakin prabowo bawa indonesia jadi lebih baik,negative
serahkan komposisi kabinet ke presiden terpilih demokrat tak permasalahkan pdip gabung ke pemerintahan prabowo-gibran kami di demokrat tak mempermasalahkan jika pdip bergabung. itu adalah hak dan prerogatif pak prabowo. beliau tentu sudah melakukan kalkulasi matang. kami https://t.co/g9hnigvfga,serah komposisi kabinet presiden pilih demokrat tak masalah pdip gabung perintah prabowogibran demokrat tak masalah pdip gabung hak prerogatif pak prabowo beliau laku kalkulasi matang,neutral
jabat wakil ketua kadin jadi pemanasan raffi ahmad masuk kabinet prabowo https://t.co/al2vfnod8l,jabat wakil ketua kadin jadi panas raffi ahmad masuk kabinet prabowo,negative
prabowo: strategi transformasi bangsa. transformasi. transformasi... perubahan. https://t.co/x8rd5beilp,prabowo strategi transformasi bangsa transformasi transformasi ubah,negative
#singkirkangibranfufufafa apa bang @prabowo tega? https://t.co/jej9baiimz,apa bang tega,neutral
menjaga pengaruh di ujung kuasa sejumlah kalangan memuji transisi kekuasaan jokowi ke prabowo yang dinilai berjalan mulus. mereka sebut ini belum pernah terjadi sebelumnya di mana presiden yang akan lengser mempersiapkan sedemikian rupa transisi kekuasaan pada penggantinya. ini https://t.co/ebojctjcqg,jaga pengaruh ujung kuasa jumlah kalang puji transisi kuasa jokowi prabowo nilai jalan mulus sebut pernah jadi belum mana presiden lengser siap demikian rupa transisi kuasa ganti,negative
partai buruh dukung prabowo berharap omnibus law dicabut https://t.co/lt2s5ajztf,partai buruh dukung prabowo harap omnibus law cabut,negative
@yusuf_dumdum pak @prabowo sudah tau buku ini? https://t.co/buhrne6zg4,dumdum pak tau buku,positive
asli real sop adu domba prabowo dengan gibran kmrn itu dgn pura2 jd pendukung prabowo yg tersakiti oleh fitnah buatan mereka sendiri. padahal barisan sakit hati anies jd gelandangan politik. wkwkw anies aja rendahin prabowo ya kok nyamar jd pro prabowo ini orng https://t.co/bzuhdxsuk6,asli real sop adu domba prabowo gibran kmrn dgn pura jd dukung prabowo yg sakit fitnah buat sendiri padahal baris sakit hati anies jd gelandang politik wkwkw anies aja rendahin prabowo kok nyamar jd pro prabowo orng,negative
mimpi sayyid muhammad qosim bin abdul karim benar dari allaah dan rosulullaah #mimpimuhammadqosim wanita ahli neraka thailand rp 1 monas photographer nana gibran kaesang anies fufufafa prabowo pdip https://t.co/qhr1s0sfbu,mimpi sayyid muhammad qosim bin abdul karim benar allaah rosulullaah wanita ahli neraka thailand rp monas photographer nana gibran kaesang anies fufufafa prabowo pdip,positive
dua duanya jalan menuju gerbang tol madiun marc prabowo neo historia bahrain. https://t.co/lmjz3flnvk,dua jalan tuju gerbang tol madiun marc prabowo neo historia bahrain,negative
@jhonsitorus_18 begitu kira² kata pak prabowo https://t.co/jtpqwbtouw,kira kata pak prabowo,negative
prabowo-gibran: kolaborasi segar untuk masa depan indonesia! anak muda saatnya kita dukung pemimpin yang siap bekerja nyata untuk rakyat. #dukungprabowogibran #suksesprabowogibran #prabowogibranmerakyat #prabowogibranberdedikasi #karyanyata https://t.co/gie3jgtldr,prabowogibran kolaborasi segar masa depan indonesia anak muda saat dukung pimpin siap kerja nyata rakyat,positive
prabowo-gibran bersama presiden jokowi dan wakil presiden ma ruf amin hadiri hut ke- 79 tentara nasional indonesia. semoga tni kita tetap jaya dan sejahtera. merdeka 🇲🇨 https://t.co/k44zyqbclt,prabowogibran sama presiden jokowi wakil presiden ma ruf amin hadir hut tentara nasional indonesia moga tni tetap jaya sejahtera merdeka,positive
@cakkhum ini kayaknya yang paling kejam ketikan dia https://t.co/xfsc2xyh7z,kayak paling kejam keti,negative
kenapa begini pak ? cc @jokowi pak @prabowo. betulkah ? https://t.co/ingghhbm4y,begini pak cc pak betul,neutral
akhirnya lengkap desak anies gelar tikar ganjar podcast prabowo https://t.co/nhjrtmwygq,akhir lengkap desak anies gelar tikar ganjar podcast prabowo,neutral
beda attitude antara pak prabowo dgn jokowi dalam memperlakukan pak tri sutrisno mantan wakil presiden indonesia https://t.co/p0uhfnykkf,beda attitude pak prabowo dgn jokowi laku pak tri sutrisno mantan wakil presiden indonesia,negative
program prabowo bangun 3 juta rumah hashim: termasuk renovasi rumah tidak layak huni https://t.co/efyoza0kk3,program prabowo bangun juta rumah hashim masuk renovasi rumah layak huni,neutral
anies &amp; prabowo ️️ ganjar #debatcapres https://t.co/kbwhcgxgs1,anies amp prabowo ganjar,neutral
1. kapolri jenderal listyo sigit prabowo telah memberikan penghargaan bintang bhayangkara utama kepada panglima tni jenderal agus subiyanto. #tnipolrisolidbersinergi bintang bhayangkara utama https://t.co/opso9bp8c3,kapolri jenderal listyo sigit prabowo beri harga bintang bhayangkara utama panglima tni jenderal agus subiyanto bintang bhayangkara utama,negative
dan terjadi lagi .. kisah lama yang terulang kembalii https://t.co/eif28ziwci,jadi kisah lama ulang kembali,neutral
 prabowo pasti menang lalu psi akan masuk parlemen lalu yang nomor 3 suara pdi perjuangan akan turun. itu yang dinyatakan oleh pak jokowi jadi di situ kemudian pak jokowi mengatakan 'kalian hebat kalau nanti bisa mengalahkan saya' https://t.co/f11mxw3gtp,prabowo menang lalu psi masuk parlemen lalu nomor suara pdi juang turun nyata pak jokowi jadi situ kemudian pak jokowi kata kalian hebat kalau kalah,negative
yth pak @prabowo orang yang telah melukai hati bapak orang yang telah memfitnah dan menghina anak kesayangan bapak mas didit. orang yang telah mengolok-olok istri dan keluarga bapak ibu @titieksoeharto. sejak 2014 tanpa berhenti. sejak 2014 pak! hinaan makian fitnahan https://t.co/ezn2fairww,yth pak orang luka hati bapak orang fitnah hina anak sayang bapak mas didit orang mengolokolok istri keluarga bapak ibu sejak henti sejak pak hina maki fitnah,positive
adem yaak masyaallah https://t.co/mvih0m6qcw,adem yaak masyaallah,positive
tak ada yang lebih berani dari gibran dalam melecehkan prabowo !! tantangan: pakai kaos fufufafa ! https://t.co/rzyy4ogwve https://t.co/mwpnvnftlw,tak lebih berani gibran leceh prabowo tantang pakai kaos fufufafa,negative
#tempothread skenario kotak kosong presiden jokowi dan prabowo secara bergerilya berusaha menjegal anies di pilkada jakarta. bahkan jokowi meminta prabowo melobi semua partai politik pendukung anies.. a thread https://t.co/ubqdp2xx2b,skenario kotak kosong presiden jokowi prabowo gerilya usaha jegal anies pilkada jakarta bahkan jokowi minta prabowo lobi semua partai politik dukung anies a thread,negative
@sang_penyerang semangat bang sesuai arahan majikan biar prabowo-gibran kena adu domba dan bisa di lengserkan mereka berdua. wkwlw https://t.co/ubv5rselar,serang semangat bang sesuai arah majikan biar prabowogibran kena adu domba lengser dua wkwlw,neutral
@rajajuliantoni pak @prabowo jangan lupa.. anda pernah di caci maki sama org ini ya org ini si juli penjilad. dari partai @psi_id inget ya pak inget anda pernah di caci maki https://t.co/qhvstiukcn,pak jangan lupa pernah caci maki sama org org si juli penjilad partai id inget pak inget pernah caci maki,positive
ngeri bos kelakuan para kader psi ke pak prabowo. bego aja gerindra klo sampe sharing kursi ke psi hanya gegara ketum psi anak mulyono. dimana hrg diri klen wahai kader gerindra! https://t.co/n4lbj02vmx,ngeri bos laku kader psi pak prabowo bego aja gerindra klo sampe sharing kursi psi gegara tum psi anak mulyono hrg diri klen wahai kader gerindra,negative
𝐏𝐞𝐦𝐛𝐚𝐧𝐠𝐮𝐧𝐚𝐧 𝐏𝐞𝐧𝐝𝐢𝐝𝐢𝐤𝐚𝐧 𝐊𝐢𝐚𝐧 𝐁𝐞𝐫𝐝𝐚𝐦𝐩𝐚𝐤 𝐃𝐚𝐧 𝐁𝐞𝐫𝐚𝐝𝐚 𝐃𝐢 𝐊𝐨𝐫𝐢𝐝𝐨𝐫 𝐘𝐚𝐧𝐠 𝐓𝐞𝐩𝐚𝐭. wanita ahli neraka sanggup prabowo minggu monas https://t.co/vwuu7lkgtx,wanita ahli neraka sanggup prabowo minggu monas,negative
cuma yg jadi pertanyaan ngapain prabowo ngelakuin ini? ini move sangatlah berisiko loh. gak ada jaminannya gabung oecd buat indo growthnya 8%. belum lagi ini kebijakan gk populer. bisa2 prabowo kalah nanti di pemilu 2029 https://t.co/wptv0ejezg,cuma yg jadi tanya ngapain prabowo ngelakuin move sangat risiko loh gak jamin gabung oecd buat indo growthnya bijak gk populer prabowo kalah milu,neutral
@prabowo si mulyono ngak pake baju tni lagi pak.. https://t.co/8xm2o1edpy,si mulyono ngak pake baju tni pak,neutral
@gerindra masak prabowo asal ngomong? gak mungkin lah ya.. https://t.co/qadxrj2mpq,masak prabowo asal ngomong gak mungkin lah,negative
ini si jhon ... ketika masih jd pendukung jokowi. jadi jangan sebut dia pendukung anies apalagi prabowo. ini si jhon muja-muji jokowi krn pingin dapet apaan ya dolo dr jokowi? lupa aku https://t.co/th7cqgbhff,si jhon jd dukung jokowi jadi jangan sebut dukung anies prabowo si jhon mujamuji jokowi krn pingin dapet apa dolo dr jokowi lupa aku,negative
bukti kalau tambang di desa mandalle kembali beraktivitas. selama ini pihak kepolisian kab. gowa tidak tegas dan tidak jelas dalam menangani kasus tambang ilegal di gowa. @divhumas_polri pak @listyosigitp @poldasulsel_ @polhukamri pak @prabowo @gibran_tweet pak @jokowi https://t.co/shdk8wjiji,bukti kalau tambang desa mandalle aktivitas lama pihak polisi kab gowa tegas jelas tangan kasus tambang ilegal gowa polri pak pak tweet pak,neutral
kaum togel 1624 pemilik iq16 dan iq24 bangga terus²an klo trending di x walaupun gak ngaruh di dunia nyata. gak heran siapapun yg mrk dukung auto nyungsep! kata albert einstein sinting adalah melakukan hal yg sama berulang² dan mengharapkan hasil yg berbeda. https://t.co/29qnvnvlfu,kaum togel milik iq iq bangga terus klo trending x walaupun gak ngaruh dunia nyata gak heran siapa yg mrk dukung auto nyungsep kata albert einstein sinting laku yg sama ulang harap hasil yg beda,positive
program strategis pak prabowo makan siang geratis ntar di bialang masa rakayat dikasi makan infrastruktur seperti kata beliau saat pilpres 2019.. https://t.co/gocv2kgdn4,program strategis pak prabowo makan siang gerat ntar bialang masa rakayat kasi makan infrastruktur kata beliau pilpres,neutral
 memperkuat diplomasi pertahanan di kancah global dan lain sebagainya. @puspen_tni @divhumas_polri @tni_ad @_tnial_ @_tniau #jokowi #jokowidodo #wapresri #prabowo #prabowosubianto #menhanprabowo #jenderalprabowo #panglimatni #kemhanri #tniprima #defendid #pindad #huttni79 https://t.co/92oxr9xcwv,kuat diplomasi tahan kancah global bagai tni polri ad tnial tniau,neutral
mimpi sayyid muhammad qosim bin abdul karim benar dari allaah dan rosulullaah #mimpimuhammadqosim wanita ahli neraka thailand rp 1 monas photographer nana gibran kaesang anies fufufafa prabowo pdip https://t.co/8ztrcxzol1,mimpi sayyid muhammad qosim bin abdul karim benar allaah rosulullaah wanita ahli neraka thailand rp monas photographer nana gibran kaesang anies fufufafa prabowo pdip,positive
udah mulai gerak pasukan adu dombanya pendukung anies/ganjar yg sakit hati mulai cosplay jd pendukung prabowo yg ngamuk sakit hati ke gibran biar pecah kongsi wkwk pertama lengserkan gibran dolo abis gitu sikat prabowo jg. devide dulu defeat in detail.. serem pimpinannya https://t.co/7yqut2atxy,udah mulai gerak pasu adu domba dukung aniesganjar yg sakit hati mulai cosplay jd dukung prabowo yg ngamuk sakit hati gibran biar pecah kongsi wkwk pertama lengser gibran dolo abis gitu sikat prabowo jg devide dulu defeat in detail rem pimpin,positive
